domain,has_Social,no_Of_External_Links,no_Of_Internal_Links
apple.com,FALSE,1,8
github.com,TRUE,11,32
wordpress.com,TRUE,20,168
microsoft.com,FALSE,0,1
wikipedia.org,FALSE,7,1
facebook.com,FALSE,21,0
play.google.com,FALSE,9,3
instagram.com,FALSE,0,0
bit.ly,TRUE,88,0
itunes.apple.com,FALSE,13,0
apps.apple.com,FALSE,6,1
vimeo.com,TRUE,4,7
adobe.com,FALSE,0,0
youtube.com,FALSE,1,7
twitter.com,FALSE,6,0
github.io,FALSE,28,0
pinterest.com,FALSE,1,0
wordpress.org,TRUE,18,51
linkedin.com,FALSE,0,141
apache.org,TRUE,12,300
forms.gle,FALSE,1,0
amazon.com,FALSE,0,0
google.com,FALSE,5,16
mozilla.org,TRUE,9,25
whatsapp.com,TRUE,17,55
reddit.com,FALSE,12,61
tiktok.com,FALSE,1,13
flickr.com,TRUE,15,0
w3.org,TRUE,4,73
archive.org,FALSE,0,0
medium.com,TRUE,21,40
nytimes.com,FALSE,47,582
tumblr.com,FALSE,0,0
europa.eu,FALSE,0,0
soundcloud.com,FALSE,5,2
blogspot.com,FALSE,0,0
cloudflare.com,TRUE,10,29
forbes.com,FALSE,58,120
qq.com,FALSE,23,174
open.spotify.com,FALSE,0,0
gravatar.com,FALSE,4,10
wa.me,TRUE,69,0
yahoo.com,FALSE,4,492
baidu.com,FALSE,1,9
spotify.com,FALSE,0,0
t.me,TRUE,2,0
t.co,TRUE,13,0
nginx.org,TRUE,3,14
creativecommons.org,TRUE,21,40
office.com,FALSE,164,10
sciencedirect.com,FALSE,9,3
zoom.us,TRUE,15,286
who.int,TRUE,9,18
amazonaws.com,TRUE,19,76
vk.com,FALSE,0,0
cnn.com,TRUE,15,245
sourceforge.net,TRUE,11,6
beian.miit.gov.cn,FALSE,0,0
www.ncbi.nlm.nih.gov,TRUE,28,3
bbc.com,FALSE,57,72
bbc.co.uk,FALSE,33,16
issuu.com,TRUE,8,76
live.com,FALSE,1,0
ec.europa.eu,FALSE,0,0
web.archive.org,FALSE,134,0
bing.com,FALSE,2,0
harvard.edu,TRUE,17,143
theguardian.com,TRUE,15,42
wikimedia.org,FALSE,13,11
mit.edu,TRUE,9,20
paypal.com,TRUE,8,10
wiley.com,FALSE,0,0
nginx.com,TRUE,33,157
reuters.com,TRUE,14,14
tinyurl.com,FALSE,0,0
doi.org,TRUE,8,3
researchgate.net,FALSE,1,2
opera.com,TRUE,11,29
googleblog.com,TRUE,103,0
dropbox.com,TRUE,7,78
wsj.com,TRUE,33,401
imdb.com,FALSE,0,0
cdc.gov,TRUE,24,92
weibo.com,FALSE,0,0
msn.com,FALSE,0,0
list-manage.com,FALSE,0,0
gnu.org,FALSE,25,2
ibm.com,FALSE,0,1
oracle.com,FALSE,1,14
businessinsider.com,TRUE,14,6
springer.com,FALSE,9,9
wp.com,TRUE,188,0
www.gov.uk,FALSE,3,1
php.net,TRUE,44,113
weebly.com,TRUE,6,19
stanford.edu,TRUE,14,74
un.org,FALSE,0,0
time.com,TRUE,28,119
cpanel.net,FALSE,3,8
unsplash.com,FALSE,5,22
slideshare.net,TRUE,6,84
dailymail.co.uk,FALSE,21,355
nature.com,TRUE,10,59
outlook.com,FALSE,1,0
shopify.com,TRUE,21,106
go.com,FALSE,97,24
wpa.qq.com,FALSE,0,0
linktr.ee,TRUE,7,46
npr.org,TRUE,6,181
amzn.to,FALSE,0,0
bloomberg.com,FALSE,0,0
wired.com,TRUE,19,67
g.page,FALSE,11,0
addtoany.com,FALSE,14,6
usatoday.com,TRUE,18,45
cnbc.com,TRUE,18,246
statista.com,TRUE,15,28
etsy.com,FALSE,0,0
edition.cnn.com,TRUE,29,231
wix.com,TRUE,8,128
telegraph.co.uk,TRUE,17,63
webmd.com,FALSE,1,0
cnet.com,TRUE,14,14
ted.com,TRUE,9,8
behance.net,FALSE,0,0
debian.org,FALSE,1,5
myspace.com,FALSE,2,0
surveymonkey.com,TRUE,7,5
oup.com,FALSE,0,0
loc.gov,TRUE,17,16
myshopify.com,FALSE,3,0
blogger.com,FALSE,0,0
eventbrite.com,TRUE,4,89
mysql.com,TRUE,26,45
hp.com,TRUE,10,409
telegram.me,TRUE,2,0
aboutads.info,FALSE,1,4
tandfonline.com,FALSE,0,0
ietf.org,FALSE,4,9
ft.com,TRUE,2,147
independent.co.uk,TRUE,36,83
twitch.tv,FALSE,0,0
stackoverflow.com,TRUE,73,19
free.fr,FALSE,0,8
techcrunch.com,FALSE,4,71
huffingtonpost.com,TRUE,286,1
berkeley.edu,FALSE,0,0
cornell.edu,TRUE,6,87
cbsnews.com,TRUE,17,173
hugedomains.com,FALSE,1,0
launchpad.net,FALSE,6,22
ca.gov,TRUE,11,10
ebay.com,TRUE,30,262
mailchimp.com,TRUE,15,46
allaboutcookies.org,FALSE,1,0
imgur.com,FALSE,0,0
theverge.com,FALSE,27,0
discord.gg,TRUE,7,0
amazon.co.uk,FALSE,0,2
dailymotion.com,FALSE,0,0
hubspot.com,TRUE,18,86
themeforest.net,TRUE,60,158
squarespace.com,TRUE,13,40
latimes.com,FALSE,0,0
fda.gov,TRUE,6,42
unesco.org,TRUE,16,134
washington.edu,TRUE,46,101
sagepub.com,TRUE,5,12
samsung.com,FALSE,13,6
prnewswire.com,TRUE,42,44
hbr.org,TRUE,10,3
pixabay.com,FALSE,0,0
mailchi.mp,TRUE,61,0
kickstarter.com,FALSE,1,1
youku.com,FALSE,0,0
nationalgeographic.com,FALSE,32,150
britannica.com,TRUE,21,83
nbcnews.com,TRUE,35,324
goodreads.com,TRUE,8,6
whitehouse.gov,TRUE,25,82
line.me,TRUE,19,19
networkadvertising.org,FALSE,0,0
theatlantic.com,FALSE,0,178
yelp.com,FALSE,8,10
marriott.com,TRUE,30,144
sharepoint.com,FALSE,1,0
princeton.edu,TRUE,13,30
ai-lawandorder.com,TRUE,5,4
iso.org,TRUE,6,2
scribd.com,TRUE,20,60
business.site,TRUE,40,0
dx.doi.org,TRUE,10,0
skype.com,TRUE,61,41
calendly.com,TRUE,16,11
huffpost.com,TRUE,13,274
cambridge.org,TRUE,26,58
bandcamp.com,TRUE,13,63
redhat.com,TRUE,9,98
mp.weixin.qq.com,FALSE,15,2
healthline.com,FALSE,14,56
worldbank.org,TRUE,100,403
economist.com,TRUE,17,29
canva.com,FALSE,1,0
finance.yahoo.com,TRUE,21,24
taobao.com,FALSE,0,108
sina.com.cn,FALSE,200,886
statcounter.com,TRUE,5,8
businesswire.com,TRUE,18,36
booking.com,FALSE,4,80
jotform.com,TRUE,7,222
quora.com,FALSE,0,0
mayoclinic.org,TRUE,70,106
usda.gov,TRUE,21,12
netflix.com,FALSE,1,11
epa.gov,FALSE,0,0
bitly.com,TRUE,4,84
indiatimes.com,TRUE,14,9
plos.org,FALSE,0,0
pbs.org,TRUE,19,105
translate.google.com,FALSE,11,2
livejournal.com,TRUE,11,95
change.org,TRUE,5,2
eepurl.com,TRUE,3,0
example.com,FALSE,1,0
mckinsey.com,FALSE,0,0
academia.edu,FALSE,1,140
cookiedatabase.org,FALSE,8,19
theconversation.com,FALSE,0,0
indeed.com,FALSE,1,0
outlook.live.com,FALSE,1,0
state.gov,TRUE,31,202
foxnews.com,TRUE,74,356
weforum.org,TRUE,19,146
godaddy.com,FALSE,0,0
sciencedaily.com,FALSE,0,0
akismet.com,FALSE,8,23
umich.edu,TRUE,18,43
fandom.com,TRUE,10,86
yale.edu,TRUE,5,48
about.com,TRUE,6,0
psychologytoday.com,FALSE,0,0
jimdo.com,FALSE,2,6
columbia.edu,TRUE,15,45
web.whatsapp.com,FALSE,10,0
ox.ac.uk,TRUE,35,127
wikihow.com,TRUE,11,18
psu.edu,TRUE,10,61
typepad.com,FALSE,0,0
arxiv.org,FALSE,4,50
vice.com,TRUE,16,26
biomedcentral.com,TRUE,10,13
discord.com,TRUE,7,0
upenn.edu,TRUE,7,107
investopedia.com,FALSE,0,0
fortune.com,TRUE,17,453
cisco.com,TRUE,6,29
cbc.ca,TRUE,17,32
v.qq.com,FALSE,29,141
dribbble.com,TRUE,4,0
aol.com,TRUE,19,273
mdpi.com,TRUE,95,168
ubuntu.com,TRUE,28,5
giphy.com,FALSE,1,12
buzzfeed.com,FALSE,5,150
perfectdomain.com,FALSE,0,0
mashable.com,TRUE,20,106
bmj.com,TRUE,13,68
deviantart.com,TRUE,8,158
pexels.com,FALSE,0,0
pewresearch.org,TRUE,9,233
readthedocs.io,TRUE,19,11
intel.com,TRUE,18,11
sciencemag.org,FALSE,0,0
zdnet.com,TRUE,14,37
zendesk.com,FALSE,1,0
typeform.com,TRUE,8,11
sedo.com,FALSE,0,9
stripe.com,FALSE,3,171
xinhuanet.com,FALSE,623,31
oecd.org,FALSE,0,0
science.org,FALSE,0,0
frontiersin.org,TRUE,4,37
abc.net.au,TRUE,15,65
apa.org,FALSE,0,0
umn.edu,TRUE,9,45
arcgis.com,FALSE,2,2
android.com,TRUE,17,4
steampowered.com,TRUE,23,319
newyorker.com,TRUE,13,12
sohu.com,FALSE,7,181
fastcompany.com,FALSE,0,0
trustpilot.com,TRUE,7,26
docker.com,FALSE,0,0
yandex.ru,FALSE,0,0
gitlab.com,FALSE,0,8
apnews.com,TRUE,26,289
sun.com,TRUE,26,0
oreilly.com,TRUE,11,40
digg.com,FALSE,0,23
openai.com,TRUE,5,10
openstreetmap.org,FALSE,3,2
vox.com,TRUE,34,166
plesk.com,TRUE,14,294
nypost.com,TRUE,75,404
python.org,TRUE,36,33
marketwatch.com,TRUE,32,346
amazon.de,FALSE,12,16
scientificamerican.com,FALSE,0,0
uci.edu,TRUE,16,104
dev.mysql.com,TRUE,83,14
patreon.com,TRUE,10,54
geocities.com,TRUE,497,0
tripod.com,TRUE,32,0
disqus.com,FALSE,0,0
googleapis.com,FALSE,0,0
gofundme.com,TRUE,7,6
wisc.edu,TRUE,13,46
sitemaps.org,FALSE,1,0
salesforce.com,FALSE,0,13
cam.ac.uk,TRUE,8,68
gizmodo.com,FALSE,15,218
newsweek.com,FALSE,0,0
merriam-webster.com,TRUE,22,16
inc.com,FALSE,0,0
pnas.org,FALSE,0,0
engadget.com,FALSE,0,0
dw.com,FALSE,0,0
jstor.org,FALSE,0,1
elsevier.com,TRUE,11,8
xing.com,FALSE,14,123
fao.org,TRUE,22,41
ftc.gov,TRUE,32,27
guardian.co.uk,TRUE,57,0
feedburner.com,FALSE,0,0
entrepreneur.com,TRUE,23,14
news.google.com,FALSE,2,1
freepik.com,FALSE,0,0
huawei.com,FALSE,20,107
elegantthemes.com,TRUE,9,5
jhu.edu,TRUE,36,127
jigsaw.w3.org,FALSE,2,0
meetup.com,TRUE,7,46
alibaba.com,FALSE,3,38
bilibili.com,FALSE,0,0
wpengine.com,FALSE,0,0
dell.com,FALSE,2,58
intuit.com,TRUE,12,129
ucla.edu,TRUE,38,104
addthis.com,FALSE,2,0
thelancet.com,FALSE,0,0
auctollo.com,FALSE,1,10
nps.gov,FALSE,3,0
constantcontact.com,FALSE,0,0
aliyun.com,TRUE,119,6
