domain,age,total_life,updatedFor,R_Country,H_Country,Same_RH_Country,Privacy,TLD,cheap_TLD,dom_has_hyphen,dom_has_digits,top1m,has_Social,external_links,internal_links,label
armehtech.com-2023-10_2023-7,5,6,1,3,1,0,0,1,0,0,0,0,0,1,0,1
armehtech.com-2022-3_2023-7,4,5,1,3,1,0,0,1,0,0,0,0,0,1,0,1
apollo31.com-2023-6_2023-4,3,4,1,1,1,1,0,1,0,0,1,0,0,0,0,1
apollo31.com-2023-5_2023-4,3,4,1,1,1,1,0,1,0,0,1,0,0,0,0,1
apollo31.com-2022-8_2023-4,2,3,1,1,1,1,0,1,0,0,1,0,0,0,0,1
apollo31.com-2022-6_2021-11,2,3,1,1,1,1,0,1,0,0,1,0,0,0,0,1
apollo31.com-2021-10_2021-11,1,3,2,1,1,1,0,1,0,0,1,0,0,0,0,1
apollo31.com-2021-4_2021-11,1,2,1,42,1,0,0,1,0,0,1,0,0,0,0,1
kgstechgroup.com-2023-11_2023-11,6,7,1,1,1,1,0,1,0,0,0,0,1,5,91,1
kgstechgroup.com-2022-11_2023-3,5,6,1,1,1,1,0,1,0,0,0,0,0,0,0,1
kgstechgroup.com-2021-11_2022-5,4,5,1,1,1,1,0,1,0,0,0,0,0,0,0,1
aelfriceden.com-2021-8_2022-12,4,8,4,1,1,1,0,1,0,0,0,1,1,11,9,1
aelfriceden.com-2023-7_2023-12,6,8,2,1,1,1,0,1,0,0,0,1,1,11,11,1
aelfriceden.com-2022-10_2023-5,5,8,3,1,1,1,0,1,0,0,0,1,1,11,11,1
hlgoods.com-2022-10_2021-1,5,10,5,1,1,1,0,1,0,0,0,0,0,1,0,1
passports-services.com-2023-6_2023-7,4,5,1,1,16,0,0,1,0,1,0,0,0,1,0,1
passports-services.com-2022-10_2023-7,3,5,2,1,1,1,0,1,0,1,0,0,0,1,0,1
passports-services.com-2022-10_2023-7,3,5,2,1,16,0,0,1,0,1,0,0,0,1,0,1
passports-services.com-2021-8_2021-7,2,3,1,1,1,1,0,1,0,1,0,0,0,1,0,1
theuncorkedlibrarian.com-2024-2_2024-1,7,8,1,1,1,1,1,1,0,0,0,0,1,19,85,1
theuncorkedlibrarian.com-2023-11_2024-1,6,7,1,1,1,1,1,1,0,0,0,0,1,19,85,1
theuncorkedlibrarian.com-2023-2_2023-4,6,7,1,1,1,1,1,1,0,0,0,0,1,6,34,1
theuncorkedlibrarian.com-2021-11_2022-5,4,6,2,1,1,1,1,1,0,0,0,0,1,9,18,1
theuncorkedlibrarian.com-2021-10_2022-5,4,5,1,3,1,0,0,1,0,0,0,0,1,9,18,1
theuncorkedlibrarian.com-2021-1_2022-9,4,5,1,3,1,0,0,1,0,0,0,0,1,9,21,1
affordablebuildingblocks.com-2021-5_2020-11,1,2,1,1,1,1,0,1,0,0,0,0,0,0,0,1
feelbpay.com-2023-4_2022-1,3,4,1,2,1,0,0,1,0,0,0,0,0,1,1,1
feelbpay.com-2022-3_2022-1,2,3,1,2,1,0,0,1,0,0,0,0,0,1,1,1
onlineltc.io-2024-2_2024-1,6,6,0,1,1,1,1,9,0,0,0,0,0,0,0,1
onlineltc.io-2023-12_2024-1,5,6,1,2,1,0,1,9,0,0,0,0,0,0,0,1
onlineltc.io-2023-8_2024-1,5,5,0,2,1,0,1,9,0,0,0,0,0,0,0,1
onlineltc.io-2023-6_2024-1,5,5,0,2,3,0,1,9,0,0,0,0,0,0,0,1
onlineltc.io-2023-5_2024-1,5,5,0,2,1,0,1,9,0,0,0,0,0,0,0,1
onlineltc.io-2022-12_2023-8,4,5,1,2,1,0,1,9,0,0,0,0,0,1,2,1
onlineltc.io-2021-12_2020-7,3,4,1,2,1,0,1,9,0,0,0,0,0,0,0,1
onlineltc.io-2021-11_2020-7,3,4,1,2,1,0,1,9,0,0,0,0,0,0,0,1
att-bundles.com-2023-12_2023-9,5,6,1,1,1,1,0,1,0,1,0,1,0,28,11,1
att-bundles.com-2022-12_2023-9,4,5,1,1,1,1,0,1,0,1,0,1,0,28,11,1
att-bundles.com-2021-12_2022-8,3,4,1,1,1,1,0,1,0,1,0,1,0,23,11,1
att-bundles.com-2021-1_2022-12,3,3,0,1,1,1,0,1,0,1,0,1,0,23,12,1
notion.so-2023-6_2024-2,8,9,1,1,3,0,0,25,0,0,0,1,1,8,17,1
notion.so-2022-11_2023-6,7,9,2,1,3,0,0,25,0,0,0,1,1,8,9,1
notion.so-2022-10_2023-6,7,8,1,1,3,0,0,25,0,0,0,1,1,8,9,1
notion.so-2022-3_2023-12,7,8,1,1,3,0,0,25,0,0,0,1,1,8,17,1
notion.so-2021-2_2022-12,6,7,1,1,3,0,0,25,0,0,0,1,1,13,10,1
beautypass.net-2022-5_2021-8,8,9,1,1,16,0,0,5,0,0,0,0,1,6,0,1
beautypass.net-2021-5_2021-8,7,8,1,1,16,0,0,5,0,0,0,0,1,6,0,1
trustfx.io-2021-10_2021-6,2,3,1,1,3,0,1,9,0,0,0,0,0,0,0,1
trustfx.io-2021-9_2021-6,2,3,1,1,3,0,0,9,0,0,0,0,0,0,0,1
trustfx.io-2021-3_2021-6,2,3,1,1,3,0,0,9,0,0,0,0,0,0,0,1
thewinningkey.com-2024-2_2023-12,6,8,2,1,1,1,0,1,0,0,0,0,0,1,13,1
thewinningkey.com-2022-10_2022-12,4,6,2,1,1,1,0,1,0,0,0,0,0,0,13,1
thewinningkey.com-2022-2_2023-12,4,6,2,1,1,1,0,1,0,0,0,0,0,1,13,1
thewinningkey.com-2021-2_2022-12,3,4,1,1,1,1,0,1,0,0,0,0,0,0,13,1
thewinningkey.com-2021-6_2022-12,3,4,1,1,1,1,0,1,0,0,0,0,0,0,13,1
thewinningkey.com-2021-2_2022-12,3,4,1,1,16,0,0,1,0,0,0,0,0,0,13,1
ihomeau.com-2023-8_2022-2,5,6,1,3,1,0,0,1,0,0,0,0,1,3,7,1
ihomeau.com-2022-8_2022-2,4,5,1,3,1,0,0,1,0,0,0,0,1,3,7,1
ihomeau.com-2021-8_2022-2,3,4,1,3,1,0,0,1,0,0,0,0,1,3,7,1
fanaticanimestore.com-2021-5_2022-12,3,8,5,4,1,0,0,1,0,0,0,0,1,1,130,1
fanaticanimestore.com-2021-5_2022-12,3,8,5,4,4,1,0,1,0,0,0,0,1,1,130,1
goadapter.com-2023-11_2022-6,0,1,1,1,1,1,0,1,0,0,0,0,0,0,63,1
goadapter.com-2023-9_2022-6,5,6,1,1,1,1,0,1,0,0,0,0,0,0,63,1
goadapter.com-2022-7_2022-6,4,5,1,1,1,1,0,1,0,0,0,0,0,0,63,1
goadapter.com-2021-9_2022-6,3,5,2,1,1,1,0,1,0,0,0,0,0,0,63,1
caseis-mylife.com-2023-12_2022-5,4,5,1,3,1,0,0,1,0,1,0,0,0,3,0,1
caseis-mylife.com-2022-12_2022-5,3,4,1,3,1,0,0,1,0,1,0,0,0,3,0,1
caseis-mylife.com-2021-12_2022-5,2,3,1,3,1,0,0,1,0,1,0,0,0,3,0,1
caseis-mylife.com-2021-5_2021-12,2,2,0,3,1,0,0,1,0,1,0,0,0,1,0,1
proxyrotator.com-2023-11_2023-4,7,8,1,2,1,0,0,1,0,0,0,0,0,0,19,1
proxyrotator.com-2022-11_2023-4,6,7,1,2,1,0,0,1,0,0,0,0,0,0,19,1
proxyrotator.com-2021-11_2022-8,5,6,1,2,1,0,0,1,0,0,0,0,0,0,19,1
alinanova.com-2023-11_2023-11,7,8,1,3,1,0,0,1,0,0,0,0,1,6,3,1
alinanova.com-2022-11_2023-8,6,7,1,3,1,0,0,1,0,0,0,0,1,9,6,1
alinanova.com-2021-11_2022-8,5,6,1,3,1,0,0,1,0,0,0,0,1,6,0,1
geeksonrepair.com-2023-3_2023-12,12,13,1,1,10,0,1,1,0,0,0,0,1,11,22,1
geeksonrepair.com-2022-11_2023-6,11,12,1,1,1,1,0,1,0,0,0,0,1,11,22,1
geeksonrepair.com-2021-11_2022-8,10,11,1,1,1,1,0,1,0,0,0,0,1,11,29,1
trap2four7.com-2021-10_2021-12,5,6,1,3,1,0,0,1,0,0,1,0,0,2,2,1
animatedjob.net-2022-6_2021-12,4,5,1,1,1,1,1,5,0,0,0,0,0,0,0,1
animatedjob.net-2022-2_2021-12,4,5,1,1,1,1,1,5,0,0,0,0,0,0,0,1
animatedjob.net-2021-3_2021-12,3,4,1,1,1,1,1,5,0,0,0,0,0,0,0,1
animatedjob.net-2021-2_2021-12,3,4,1,1,1,1,1,5,0,0,0,0,0,0,0,1
nashapochta.com-2023-4_2023-10,11,12,1,1,1,1,0,1,0,0,0,0,1,13,55,1
nashapochta.com-2022-4_2023-10,10,11,1,1,1,1,0,1,0,0,0,0,1,13,55,1
nashapochta.com-2021-4_2022-12,9,10,1,1,1,1,0,1,0,0,0,0,1,12,48,1
casemine.com-2024-2_2023-12,9,14,5,1,1,1,0,1,0,0,0,1,1,16,0,1
casemine.com-2023-2_2023-12,8,9,1,1,1,1,0,1,0,0,0,1,1,16,0,1
casemine.com-2022-9_2023-12,7,9,2,1,1,1,0,1,0,0,0,1,1,16,0,1
osakastreetwear.com-2023-5_2022-10,4,5,1,5,15,0,0,1,0,0,0,0,0,0,0,1
osakastreetwear.com-2023-6_2022-10,4,5,1,5,15,0,0,1,0,0,0,0,0,0,0,1
osakastreetwear.com-2023-5_2022-10,4,4,0,5,15,0,0,1,0,0,0,0,0,0,0,1
osakastreetwear.com-2022-6_2022-10,3,4,1,5,1,0,0,1,0,0,0,0,0,0,0,1
osakastreetwear.com-2021-7_2022-10,2,4,2,5,1,0,0,1,0,0,0,0,0,0,0,1
osakastreetwear.com-2021-7_2022-10,2,3,1,5,1,0,0,1,0,0,0,0,0,0,0,1
osakastreetwear.com-2021-1_2022-10,2,2,0,3,1,0,0,1,0,0,0,0,0,0,0,1
appeards.com-2023-8_2023-11,5,6,1,1,1,1,0,1,0,0,0,0,0,0,3,1
appeards.com-2022-9_2023-6,4,5,1,1,1,1,0,1,0,0,0,0,0,0,3,1
appeards.com-2022-8_2023-11,4,5,1,40,16,0,0,1,0,0,0,0,0,0,3,1
appeards.com-2021-8_2022-11,3,4,1,40,1,0,0,1,0,0,0,0,0,0,3,1
skylifeboutique.com-2022-2_2022-1,7,8,1,1,1,1,0,1,0,0,0,0,1,6,0,1
youcreateyourlife.com-2023-4_2023-4,0,1,1,11,10,0,1,1,0,0,0,0,0,0,0,1
youcreateyourlife.com-2022-1_2023-4,1,1,0,3,1,0,0,1,0,0,0,0,0,0,0,1
bikecomputer.co-2023-9_2024-1,7,8,1,1,1,1,1,43,0,0,0,0,1,14,0,1
bikecomputer.co-2022-9_2023-5,6,7,1,1,1,1,1,43,0,0,0,0,1,14,0,1
bikecomputer.co-2021-9_2022-12,5,6,1,1,1,1,1,43,0,0,0,0,1,14,0,1
bikecomputer.co-2021-9_2022-12,5,6,1,44,1,0,1,43,0,0,0,0,1,14,0,1
bikecomputer.co-2021-9_2022-12,5,6,1,44,1,0,1,43,0,0,0,0,1,14,0,1
bikecomputer.co-2021-9_2022-12,5,5,0,44,1,0,1,43,0,0,0,0,1,14,0,1
ericpsychic.com-2024-2_2023-6,6,7,1,30,1,0,0,1,0,0,0,0,1,2,13,1
ericpsychic.com-2023-1_2023-6,5,6,1,30,1,0,0,1,0,0,0,0,1,2,13,1
ericpsychic.com-2023-1_2023-6,5,6,1,30,1,0,0,1,0,0,0,0,1,2,13,1
ericpsychic.com-2022-1_2023-6,4,5,1,30,1,0,0,1,0,0,0,0,1,2,13,1
ericpsychic.com-2022-1_2023-6,4,5,1,30,1,0,0,1,0,0,0,0,1,2,13,1
pigzbe.com-2023-2_2023-9,1,2,1,27,10,0,0,1,0,0,0,0,0,18,27,1
pigzbe.com-2022-12_2023-9,0,2,2,27,10,0,0,1,0,0,0,0,0,18,27,1
pigzbe.com-2022-4_2023-9,0,1,1,1,1,1,0,1,0,0,0,0,0,18,27,1
pigzbe.com-2022-3_2023-9,0,1,1,12,1,0,0,1,0,0,0,0,0,18,27,1
pigzbe.com-2022-2_2023-9,4,4,0,3,1,0,0,1,0,0,0,0,0,18,27,1
pigzbe.com-2021-5_2022-12,3,4,1,3,1,0,0,1,0,0,0,0,0,14,27,1
pigzbe.com-2021-2_2022-12,3,4,1,3,1,0,0,1,0,0,0,0,0,14,27,1
travelpackageoffl.com-2023-2_2022-12,5,5,0,1,1,1,0,1,0,0,0,0,0,1,0,1
dankmemeapparel.com-2023-8_2023-10,5,6,1,3,1,0,0,1,0,0,0,0,1,7,3,1
dankmemeapparel.com-2022-8_2023-5,4,5,1,3,1,0,0,1,0,0,0,0,1,7,3,1
dankmemeapparel.com-2021-8_2022-12,3,4,1,3,1,0,0,1,0,0,0,0,1,7,3,1
shoeshinee.com-2021-12_2020-7,2,3,1,1,1,1,0,1,0,0,0,0,0,0,0,1
west-38.com-2023-1_2023-9,4,6,2,11,11,1,1,1,0,1,1,0,1,8,16,1
west-38.com-2022-6_2023-9,3,4,1,11,11,1,1,1,0,1,1,0,1,8,16,1
west-38.com-2021-1_2022-12,2,4,2,11,11,1,1,1,0,1,1,0,1,8,15,1
franchisedictionarymagazine.com-2023-10_2024-1,6,7,1,1,1,1,0,1,0,0,0,0,1,10,88,1
franchisedictionarymagazine.com-2022-10_2023-6,5,6,1,1,1,1,0,1,0,0,0,0,1,10,90,1
franchisedictionarymagazine.com-2021-10_2022-6,4,5,1,1,1,1,0,1,0,0,0,0,1,10,104,1
myblondeambition.com-2022-10_2021-6,5,6,1,1,1,1,0,1,0,0,0,0,0,0,0,1
myblondeambition.com-2021-10_2021-6,4,6,2,1,1,1,0,1,0,0,0,0,0,0,0,1
myblondeambition.com-2021-10_2021-6,4,6,2,43,1,0,0,1,0,0,0,0,0,0,0,1
launchpad.net-2023-12_2024-2,19,22,3,11,11,1,0,5,0,0,0,1,0,6,22,1
launchpad.net-2021-12_2022-9,17,20,3,11,1,0,0,5,0,0,0,1,1,6,22,1
launchpad.net-2021-12_2022-9,17,20,3,11,11,1,0,5,0,0,0,1,1,6,22,1
aspiregear.com-2022-11_2023-8,0,2,2,1,3,0,0,1,0,0,0,0,0,0,65,1
aspiregear.com-2022-8_2023-11,0,1,1,4,1,0,0,1,0,0,0,0,0,0,65,1
aspiregear.com-2022-5_2023-11,6,7,1,3,1,0,0,1,0,0,0,0,0,0,65,1
aspiregear.com-2021-5_2022-11,5,6,1,3,1,0,0,1,0,0,0,0,0,0,49,1
cpavox.com-2022-6_2021-2,3,4,1,2,1,0,0,1,0,0,0,0,0,0,3,1
cpavox.com-2021-5_2021-5,2,3,1,2,1,0,0,1,0,0,0,0,0,0,3,1
indeed.com-2023-2_2023-9,25,26,1,1,1,1,0,1,0,0,0,1,0,5,22,1
indeed.com-2022-12_2023-9,24,25,1,1,1,1,0,1,0,0,0,1,0,5,22,1
indeed.com-2022-2_2023-9,24,25,1,1,45,0,0,1,0,0,0,1,0,5,22,1
indeed.com-2022-2_2023-9,24,25,1,1,15,0,0,1,0,0,0,1,0,5,22,1
indeed.com-2021-2_2022-12,23,24,1,1,45,0,0,1,0,0,0,1,0,6,24,1
uspss.org-2023-11_2023-5,1,2,1,9,9,0,1,3,0,0,0,0,1,101,0,1
